"No.","Time","Source","Destination","Protocol","Length","Channel","RSSI (dBm)","CRC","Info"
"1","0.000000","e0:30:8c:37:69:5a","<broadcast>","BLE ADV","63","37","-81","OK","ADV_NONCONN_IND"
"2","0.016742","e0:30:8c:37:69:5a","<broadcast>","BLE ADV","63","38","-91","OK","ADV_NONCONN_IND"
"3","0.036364","c8:a5:cd:c0:66:8f","<broadcast>","BLE ADV","62","39","-70","OK","ADV_NONCONN_IND"
"4","0.053519","e0:30:8c:37:69:5a","<broadcast>","BLE ADV","62","37","-81","OK","ADV_NONCONN_IND"
"5","0.071585","e0:30:8c:37:69:5a","<broadcast>","BLE ADV","62","38","-91","OK","ADV_NONCONN_IND"
"6","0.089568","e0:30:8c:37:69:5c","<broadcast>","BLE ADV","62","39","-101","Incorrect","ADV_NONCONN_IND"
"7","0.107392","e7:0d:93:f0:49:92","<broadcast>","BLE ADV","63","37","-68","OK","ADV_NONCONN_IND"
"8","0.129118","e7:0d:93:f0:49:92","<broadcast>","BLE ADV","63","38","-70","OK","ADV_NONCONN_IND"
"9","0.150451","e7:0d:93:f0:49:92","<broadcast>","BLE ADV","63","39","-75","OK","ADV_NONCONN_IND"
"10","0.171160","e7:0d:93:f0:49:92","<broadcast>","BLE ADV","62","37","-67","OK","ADV_NONCONN_IND"
"11","0.190333","e7:0d:93:f0:49:92","<broadcast>","BLE ADV","62","38","-70","OK","ADV_NONCONN_IND"
"12","0.212959","e7:0d:93:f0:49:92","<broadcast>","BLE ADV","62","39","-75","OK","ADV_NONCONN_IND"
"13","0.231150","d8:07:9f:bb:65:8e","<broadcast>","BLE ADV","63","37","-79","OK","ADV_NONCONN_IND"
"14","0.248708","d8:07:9f:bb:65:8e","<broadcast>","BLE ADV","63","38","-77","OK","ADV_NONCONN_IND"
"15","0.265695","d8:07:9f:bb:65:8e","<broadcast>","BLE ADV","63","39","-79","OK","ADV_NONCONN_IND"
"16","0.283212","d8:07:9f:bb:65:8e","<broadcast>","BLE ADV","62","37","-79","OK","ADV_NONCONN_IND"
"17","0.300160","d8:07:9f:bb:65:8e","<broadcast>","BLE ADV","62","38","-76","OK","ADV_NONCONN_IND"
"18","0.324099","d8:07:9f:bb:65:8e","<broadcast>","BLE ADV","62","39","-79","OK","ADV_NONCONN_IND"
