"No.","Time","Source","Destination","Protocol","Length","Channel","RSSI (dBm)","CRC","Info"
"1","0.000000","c8:a5:cd:c0:66:8f","<broadcast>","BLE ADV","62","37","-69","OK","ADV_NONCONN_IND"
"2","0.018656","c8:a5:cd:c0:66:8f","<broadcast>","BLE ADV","62","38","-67","OK","ADV_NONCONN_IND"
"3","0.037638","c8:a5:cd:c0:66:8f","<broadcast>","BLE ADV","62","39","-70","OK","ADV_NONCONN_IND"
"4","0.054748","d8:07:9f:bb:65:8e","<broadcast>","BLE ADV","63","37","-72","OK","ADV_NONCONN_IND"
"5","0.071801","d8:07:9f:bb:65:8e","<broadcast>","BLE ADV","63","38","-72","OK","ADV_NONCONN_IND"
"6","0.091514","d8:07:9f:bb:65:8e","<broadcast>","BLE ADV","63","39","-78","OK","ADV_NONCONN_IND"
"7","0.109573","e7:0d:93:f0:49:92","<broadcast>","BLE ADV","63","37","-67","OK","ADV_NONCONN_IND"
"8","0.126791","e7:0d:93:f0:49:92","<broadcast>","BLE ADV","63","38","-72","OK","ADV_NONCONN_IND"
"9","0.143119","e7:0d:93:f0:49:92","<broadcast>","BLE ADV","63","39","-74","OK","ADV_NONCONN_IND"
"10","0.160805","d8:07:9f:bb:65:8e","<broadcast>","BLE ADV","62","37","-72","OK","ADV_NONCONN_IND"
"11","0.178664","d8:07:9f:bb:65:8e","<broadcast>","BLE ADV","62","38","-72","OK","ADV_NONCONN_IND"
"12","0.195244","d8:07:9f:bb:65:8e","<broadcast>","BLE ADV","62","39","-79","OK","ADV_NONCONN_IND"
"13","0.213812","e7:0d:93:f0:49:92","<broadcast>","BLE ADV","62","37","-67","OK","ADV_NONCONN_IND"
"14","0.230172","e7:0d:93:f0:49:92","<broadcast>","BLE ADV","62","38","-72","OK","ADV_NONCONN_IND"
"15","0.247889","e7:0d:93:f0:49:92","<broadcast>","BLE ADV","62","39","-74","OK","ADV_NONCONN_IND"
"16","0.266118","49:db:6e:a0:a0:cd","<broadcast>","BLE ADV","56","37","-97","OK","ADV_IND"
"17","0.284441","49:db:6e:a0:a0:cd","<broadcast>","BLE ADV","56","38","-100","OK","ADV_IND"
"18","0.304063","e0:30:8c:37:69:5a","<broadcast>","BLE ADV","63","39","-94","OK","ADV_NONCONN_IND"
"19","0.322018","49:db:6e:a0:a0:cd","<broadcast>","BLE ADV","56","37","-101","Incorrect","ADV_IND"
"20","0.340198","e0:30:8c:37:69:5a","<broadcast>","BLE ADV","62","38","-89","OK","ADV_NONCONN_IND"
"21","0.356794","e0:30:8c:37:69:5a","<broadcast>","BLE ADV","62","39","-91","OK","ADV_NONCONN_IND"
"22","0.377054","49:db:6e:a0:a0:cd","<broadcast>","BLE ADV","56","37","-101","Incorrect","ADV_IND"
"23","0.532878","49:db:6e:a0:a0:cd","4c:ff:14:1a:01:02","BLE ADV","56","38","-101","Incorrect","ADV_DIRECT_IND"
