"No.","Time","Source","Destination","Protocol","Length","Channel","RSSI (dBm)","CRC","Info"
"1","0.000000","c8:a5:cd:c0:66:8f","<broadcast>","BLE ADV","63","37","-68","OK","ADV_NONCONN_IND"
"2","0.007498","c8:a5:cd:c0:66:8f","<broadcast>","BLE ADV","63","38","-72","OK","ADV_NONCONN_IND"
"3","0.015178","c8:a5:cd:c0:66:8f","<broadcast>","BLE ADV","63","39","-70","OK","ADV_NONCONN_IND"
"4","0.022011","e0:30:8c:37:69:5a","<broadcast>","BLE ADV","63","37","-75","OK","ADV_NONCONN_IND"
"5","0.030024","e0:30:8c:37:69:5a","<broadcast>","BLE ADV","63","38","-93","OK","ADV_NONCONN_IND"
"6","0.037868","e0:30:8c:37:69:5a","<broadcast>","BLE ADV","63","39","-88","OK","ADV_NONCONN_IND"
"7","0.045751","c8:a5:cd:c0:66:8f","<broadcast>","BLE ADV","62","37","-68","OK","ADV_NONCONN_IND"
"8","0.054034","c8:a5:cd:c0:66:8f","<broadcast>","BLE ADV","62","38","-72","OK","ADV_NONCONN_IND"
"9","0.061965","c8:a5:cd:c0:66:8f","<broadcast>","BLE ADV","62","39","-70","OK","ADV_NONCONN_IND"
"10","0.068938","e0:30:8c:37:69:5a","<broadcast>","BLE ADV","62","37","-75","OK","ADV_NONCONN_IND"
"11","0.075052","e0:30:8c:37:69:5a","<broadcast>","BLE ADV","62","38","-91","OK","ADV_NONCONN_IND"
"12","0.081236","e0:30:8c:37:69:5a","<broadcast>","BLE ADV","62","39","-89","OK","ADV_NONCONN_IND"
"13","0.088678","e7:0d:93:f0:49:92","<broadcast>","BLE ADV","63","37","-68","OK","ADV_NONCONN_IND"
"14","0.095381","e7:0d:93:f0:49:92","<broadcast>","BLE ADV","63","38","-69","OK","ADV_NONCONN_IND"
"15","0.101772","e7:0d:93:f0:49:92","<broadcast>","BLE ADV","63","39","-73","OK","ADV_NONCONN_IND"
"16","0.108523","e7:0d:93:f0:49:92","<broadcast>","BLE ADV","62","37","-68","OK","ADV_NONCONN_IND"
"17","0.114853","e7:0d:93:f0:49:92","<broadcast>","BLE ADV","62","38","-70","OK","ADV_NONCONN_IND"
"18","0.121181","e7:0d:93:f0:49:92","<broadcast>","BLE ADV","62","39","-73","OK","ADV_NONCONN_IND"
"19","0.197744","d8:07:9f:bb:65:8e","<broadcast>","BLE ADV","63","37","-79","OK","ADV_NONCONN_IND"
"20","0.204801","d8:07:9f:bb:65:8e","<broadcast>","BLE ADV","63","38","-76","OK","ADV_NONCONN_IND"
"21","0.210980","d8:07:9f:bb:65:8e","<broadcast>","BLE ADV","63","39","-82","OK","ADV_NONCONN_IND"
"22","0.235741","d8:07:9f:bb:65:8e","<broadcast>","BLE ADV","62","37","-79","OK","ADV_NONCONN_IND"
"23","0.242996","d8:07:9f:bb:65:8e","<broadcast>","BLE ADV","62","38","-76","OK","ADV_NONCONN_IND"
"24","0.249675","d8:07:9f:bb:65:8e","<broadcast>","BLE ADV","62","39","-82","OK","ADV_NONCONN_IND"
"25","0.499953","c8:a5:cd:c0:66:8f","<broadcast>","BLE ADV","63","37","-68","OK","ADV_NONCONN_IND"
"26","0.508111","c8:a5:cd:c0:66:8f","<broadcast>","BLE ADV","63","38","-72","OK","ADV_NONCONN_IND"
"27","0.515897","c8:a5:cd:c0:66:8f","<broadcast>","BLE ADV","63","39","-70","OK","ADV_NONCONN_IND"
"28","0.521979","e0:30:8c:37:69:5a","<broadcast>","BLE ADV","63","37","-75","OK","ADV_NONCONN_IND"
"29","0.528319","e0:30:8c:37:69:5a","<broadcast>","BLE ADV","63","38","-91","OK","ADV_NONCONN_IND"
"30","0.534649","e0:30:8c:37:69:5a","<broadcast>","BLE ADV","63","39","-89","OK","ADV_NONCONN_IND"
"31","0.542588","c8:a5:cd:c0:66:8f","<broadcast>","BLE ADV","62","37","-68","OK","ADV_NONCONN_IND"
"32","0.549974","c8:a5:cd:c0:66:8f","<broadcast>","BLE ADV","62","38","-72","OK","ADV_NONCONN_IND"
"33","0.557497","c8:a5:cd:c0:66:8f","<broadcast>","BLE ADV","62","39","-70","OK","ADV_NONCONN_IND"
"34","0.565139","e0:30:8c:37:69:5a","<broadcast>","BLE ADV","62","37","-75","OK","ADV_NONCONN_IND"
"35","0.571897","e0:30:8c:37:69:5a","<broadcast>","BLE ADV","62","38","-91","OK","ADV_NONCONN_IND"
"36","0.578047","e0:30:8c:37:69:5a","<broadcast>","BLE ADV","62","39","-89","OK","ADV_NONCONN_IND"
"37","0.584457","e7:0d:93:f0:49:92","<broadcast>","BLE ADV","63","37","-68","OK","ADV_NONCONN_IND"
"38","0.590794","e7:0d:93:f0:49:92","<broadcast>","BLE ADV","63","38","-69","OK","ADV_NONCONN_IND"
"39","0.597099","e7:0d:93:f0:49:92","<broadcast>","BLE ADV","63","39","-73","OK","ADV_NONCONN_IND"
"40","0.604640","e7:0d:93:f0:49:92","<broadcast>","BLE ADV","62","37","-68","OK","ADV_NONCONN_IND"
"41","0.610713","e7:0d:93:f0:49:92","<broadcast>","BLE ADV","62","38","-69","OK","ADV_NONCONN_IND"
"42","0.617171","e7:0d:93:f0:49:92","<broadcast>","BLE ADV","62","39","-73","OK","ADV_NONCONN_IND"
"43","0.702021","d8:07:9f:bb:65:8e","<broadcast>","BLE ADV","63","37","-79","OK","ADV_NONCONN_IND"
"44","0.709039","d8:07:9f:bb:65:8e","<broadcast>","BLE ADV","63","38","-76","OK","ADV_NONCONN_IND"
"45","0.716933","d8:07:9f:bb:65:8e","<broadcast>","BLE ADV","63","39","-82","OK","ADV_NONCONN_IND"
"46","0.737550","d8:07:9f:bb:65:8e","<broadcast>","BLE ADV","62","37","-78","OK","ADV_NONCONN_IND"
"47","0.746314","d8:07:9f:bb:65:8e","<broadcast>","BLE ADV","62","38","-76","OK","ADV_NONCONN_IND"
"48","0.754179","d8:07:9f:bb:65:8e","<broadcast>","BLE ADV","62","39","-82","OK","ADV_NONCONN_IND"
"49","1.001106","c8:a5:cd:c0:66:8f","<broadcast>","BLE ADV","63","37","-68","OK","ADV_NONCONN_IND"
"50","1.011745","c8:a5:cd:c0:66:8f","<broadcast>","BLE ADV","63","38","-72","OK","ADV_NONCONN_IND"
"51","1.019916","c8:a5:cd:c0:66:8f","<broadcast>","BLE ADV","63","39","-70","OK","ADV_NONCONN_IND"
"52","1.027521","e0:30:8c:37:69:5a","<broadcast>","BLE ADV","63","37","-75","OK","ADV_NONCONN_IND"
"53","1.035070","e0:30:8c:37:69:5a","<broadcast>","BLE ADV","63","38","-91","OK","ADV_NONCONN_IND"
"54","1.041242","e0:30:8c:37:69:5a","<broadcast>","BLE ADV","63","39","-89","OK","ADV_NONCONN_IND"
"55","1.049979","c8:a5:cd:c0:66:8f","<broadcast>","BLE ADV","62","37","-68","OK","ADV_NONCONN_IND"
"56","1.057986","c8:a5:cd:c0:66:8f","<broadcast>","BLE ADV","62","38","-72","OK","ADV_NONCONN_IND"
"57","1.065797","c8:a5:cd:c0:66:8f","<broadcast>","BLE ADV","62","39","-70","OK","ADV_NONCONN_IND"
"58","1.072142","e0:30:8c:37:69:5a","<broadcast>","BLE ADV","62","37","-75","OK","ADV_NONCONN_IND"
"59","1.078086","e0:30:8c:37:69:5a","<broadcast>","BLE ADV","62","38","-91","OK","ADV_NONCONN_IND"
"60","1.083977","e0:30:8c:37:69:5a","<broadcast>","BLE ADV","62","39","-89","OK","ADV_NONCONN_IND"
"61","1.090229","e7:0d:93:f0:49:92","<broadcast>","BLE ADV","63","37","-69","OK","ADV_NONCONN_IND"
"62","1.096572","e7:0d:93:f0:49:92","<broadcast>","BLE ADV","63","38","-69","OK","ADV_NONCONN_IND"
"63","1.103085","e7:0d:93:f0:49:92","<broadcast>","BLE ADV","63","39","-73","OK","ADV_NONCONN_IND"
"64","1.109965","e7:0d:93:f0:49:92","<broadcast>","BLE ADV","62","37","-68","OK","ADV_NONCONN_IND"
"65","1.116002","e7:0d:93:f0:49:92","<broadcast>","BLE ADV","62","38","-69","OK","ADV_NONCONN_IND"
"66","1.122294","e7:0d:93:f0:49:92","<broadcast>","BLE ADV","62","39","-74","OK","ADV_NONCONN_IND"
"67","1.194562","d8:07:9f:bb:65:8e","<broadcast>","BLE ADV","63","37","-78","OK","ADV_NONCONN_IND"
"68","1.201649","d8:07:9f:bb:65:8e","<broadcast>","BLE ADV","63","38","-76","OK","ADV_NONCONN_IND"
"69","1.207617","d8:07:9f:bb:65:8e","<broadcast>","BLE ADV","63","39","-82","OK","ADV_NONCONN_IND"
"70","1.235755","d8:07:9f:bb:65:8e","<broadcast>","BLE ADV","62","37","-78","OK","ADV_NONCONN_IND"
"71","1.242917","d8:07:9f:bb:65:8e","<broadcast>","BLE ADV","62","38","-76","OK","ADV_NONCONN_IND"
"72","1.249045","d8:07:9f:bb:65:8e","<broadcast>","BLE ADV","62","39","-81","OK","ADV_NONCONN_IND"
"73","1.505668","c8:a5:cd:c0:66:8f","<broadcast>","BLE ADV","63","37","-68","OK","ADV_NONCONN_IND"
"74","1.514432","c8:a5:cd:c0:66:8f","<broadcast>","BLE ADV","63","38","-72","OK","ADV_NONCONN_IND"
